config_id,mechanism_family,description,total_trades,min_trades_per_q,median_trades_per_q,max_trades_per_q,max_q_trade_share_pct,max_to_median_ratio,trade_count_gini,top3_q_pnl_share_pct,top5_q_pnl_share_pct,rolling_4q_pos_pct,rolling_4q_pf12_pct,overall_pf,overall_wr_pct,net_pnl_usd,avg_expectancy_usd,long_trades,long_pf,short_trades,short_pf,gate_min_trades,gate_max_share,gate_max_median,gate_gini,gate_top3_pnl,gate_top5_pnl,gate_r4_pos,gate_r4_pf,gate_pf,gate_expectancy,all_precommitted_gates_pass,primary_failure_reason,final_status
H-211-C3,FBRLT,"Failed Breakout Trap (Donchian 40, SL1.5, TP3.0)",4025,98,123.0,145,3.602484472049689,1.1788617886178863,0.05200828157349897,-999.0,-999.0,0.0,0.0,0.85289690998936,30.44740024183797,-32160.667857142795,-7.777670582138524,1886,0.9367543897911746,2249,0.7784192251744391,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.853 < 1.25),REJECTED
H-211-C4,FBRLT,"Failed Breakout Trap (Donchian 40, SL1.5, TP3.75)",3672,89,112.0,133,3.622004357298475,1.1875,0.05535749653396712,-999.0,-999.0,10.0,0.0,0.8727008148219174,26.48305084745763,-27088.56964285711,-7.1738796723668194,1705,0.9446576667951365,2071,0.8091231757083288,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.873 < 1.25),REJECTED
H-212-C1,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA50, SL1.5, TP3.0)",4092,73,131.0,152,3.714565004887586,1.1603053435114503,0.08240765425516158,-999.0,-999.0,26.666666666666668,0.0,0.9629420641182571,31.522259454284345,-6363.835714285574,-1.5231775285508793,2169,0.9283602914517818,2009,0.9974563293037572,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.963 < 1.25),REJECTED
H-212-C2,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA50, SL1.5, TP3.75)",3637,69,113.0,131,3.6018696728072586,1.1592920353982301,0.07761974987710483,-999.0,-999.0,23.333333333333332,3.3333333333333335,0.9503829816538177,27.17741935483871,-8208.55357142842,-2.2066004224269946,1925,0.9359620182834192,1795,0.9646198189296706,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.950 < 1.25),REJECTED
H-212-C3,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA100, SL1.5, TP3.0)",3725,69,116.0,139,3.7315436241610738,1.1982758620689655,0.08806996135855197,-999.0,-999.0,36.666666666666664,0.0,0.9853395672901548,31.877958968963704,-2291.7821428570433,-0.6027833095363081,1987,0.9705110618787848,1815,1.0000001363014406,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.985 < 1.25),REJECTED
H-212-C4,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA100, SL1.5, TP3.75)",3339,66,104.0,124,3.7136867325546574,1.1923076923076923,0.08271393177053553,-999.0,-999.0,30.0,3.3333333333333335,0.9914480408639784,27.696365767878078,-1283.9964285712995,-0.37631782783449574,1774,0.9934103100607983,1638,0.9895270041417666,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.991 < 1.25),REJECTED
H-213-C1,MRLM,"Range Loc Momentum (Channel 50, Th 0.75/0.25, SL1.5, TP3.0)",5388,136,166.0,189,3.5077951002227175,1.1385542168674698,0.04519583361454185,178.77421510470901,215.33478793529412,33.33333333333333,0.0,1.0265497970674788,33.09833694866233,7389.0357142856665,1.3356897531246685,3014,1.0914430558403923,2518,0.9603220337242716,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.027 < 1.25),REJECTED
H-213-C2,MRLM,"Range Loc Momentum (Channel 50, Th 0.75/0.25, SL1.5, TP3.75)",4656,107,143.0,176,3.7800687285223367,1.2307692307692308,0.05185879412683536,152.27003069766275,183.04608659740956,46.666666666666664,3.3333333333333335,1.0335139851922193,28.804689135440654,8703.528571428618,1.8219653697778142,2581,1.1482493009529802,2196,0.9220322625681397,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.034 < 1.25),REJECTED
H-213-C3,MRLM,"Range Loc Momentum (Channel 100, Th 0.80/0.20, SL1.5, TP3.0)",4204,100,127.0,163,3.8772597526165553,1.2834645669291338,0.05962575325087219,126.82817754703368,150.62067872290146,46.666666666666664,3.3333333333333335,1.056817469755855,33.78096781662422,12202.08571428559,2.825210862302753,2481,1.1491455205696317,1838,0.953024953094896,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.057 < 1.25),REJECTED
H-213-C4,MRLM,"Range Loc Momentum (Channel 100, Th 0.80/0.20, SL1.5, TP3.75)",3584,87,108.0,128,3.571428571428571,1.1851851851851851,0.053064123376623376,102.75374783611983,130.25763252164202,60.0,3.3333333333333335,1.06279230524886,29.530019016571586,12515.185714285657,3.39994178600534,2113,1.185334581971101,1568,0.9311051018124938,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.063 < 1.25),REJECTED
H-214-C1,VRA,"Vol Acceleration (ATR7/28 > 1.20 + 3b Breakout + EMA50, SL1.5, TP3.0)",3616,80,114.0,126,3.484513274336283,1.105263157894737,0.053851568785197104,-999.0,-999.0,16.666666666666664,0.0,0.9323310278714672,32.467532467532465,-12723.110714285605,-3.442400085033984,1916,1.023643282800093,1780,0.8497263817486537,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.932 < 1.25),REJECTED
H-214-C2,VRA,"Vol Acceleration (ATR7/28 > 1.20 + 3b Breakout + EMA50, SL1.5, TP3.75)",3263,74,100.0,112,3.432424149555623,1.12,0.05237790098347867,-999.0,-999.0,26.666666666666668,0.0,0.9531779475315328,28.460155781905332,-8520.271428571328,-2.552507917486917,1736,1.044371645702121,1602,0.8684429143224803,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.953 < 1.25),REJECTED
H-214-C3,VRA,"Vol Acceleration (ATR7/28 > 1.30 + 3b Breakout + EMA50, SL1.5, TP3.0)",2805,50,89.0,106,3.7789661319073082,1.1910112359550562,0.08793820558526441,-999.0,-999.0,36.666666666666664,0.0,0.9930273276828245,33.11235170969993,-992.3249999999944,-0.3462404047452876,1477,1.0674510576801584,1389,0.9252925613531118,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.993 < 1.25),REJECTED
H-214-C4,VRA,"Vol Acceleration (ATR7/28 > 1.30 + 3b Breakout + EMA50, SL1.5, TP3.75)",2548,46,79.0,94,3.6891679748822606,1.1898734177215189,0.08498644212929926,199.94156141610276,277.30813489534665,50.0,3.3333333333333335,1.024301315545204,29.535864978902953,3352.5017857142493,1.285961559537495,1353,1.143329043076079,1254,0.9150652123780516,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.024 < 1.25),REJECTED
