year,quarter,trades,trade_share_pct,net_pnl_usd,profit_factor,win_rate_pct,gate12a_pass,perf_pass
2010,2010Q1,0,0.0,0.0,0.0,0.0,False,False
2010,2010Q2,0,0.0,0.0,0.0,0.0,False,False
2010,2010Q3,0,0.0,0.0,0.0,0.0,False,False
2010,2010Q4,0,0.0,0.0,0.0,0.0,False,False
2011,2011Q1,0,0.0,0.0,0.0,0.0,False,False
2011,2011Q2,0,0.0,0.0,0.0,0.0,False,False
2011,2011Q3,0,0.0,0.0,0.0,0.0,False,False
2011,2011Q4,0,0.0,0.0,0.0,0.0,False,False
2012,2012Q1,0,0.0,0.0,0.0,0.0,False,False
2012,2012Q2,0,0.0,0.0,0.0,0.0,False,False
2012,2012Q3,0,0.0,0.0,0.0,0.0,False,False
2012,2012Q4,0,0.0,0.0,0.0,0.0,False,False
2013,2013Q1,0,0.0,0.0,0.0,0.0,False,False
2013,2013Q2,2,1.4705882352941175,444.74285714285645,999.0,100.0,False,True
2013,2013Q3,2,1.4705882352941175,-143.1571428571432,0.0,0.0,False,False
2013,2013Q4,6,4.411764705882353,-55.95714285714321,0.7705196555158474,33.33333333333333,True,False
2014,2014Q1,1,0.7352941176470588,-53.371428571427444,0.0,0.0,False,False
2014,2014Q2,6,4.411764705882353,-259.5857142857146,0.0,0.0,True,False
2014,2014Q3,8,5.88235294117647,278.3285714285666,2.29843385538151,37.5,True,True
2014,2014Q4,8,5.88235294117647,-155.57142857143447,0.6344165435745832,25.0,True,False
2015,2015Q1,0,0.0,0.0,0.0,0.0,False,False
2015,2015Q2,4,2.941176470588235,-163.0571428571423,0.0,0.0,False,False
2015,2015Q3,2,1.4705882352941175,250.30000000000075,999.0,100.0,False,True
2015,2015Q4,3,2.2058823529411766,-6.671428571427995,0.9257433614247177,33.33333333333333,False,False
2016,2016Q1,3,2.2058823529411766,-19.757142857142398,0.8595653939886294,33.33333333333333,False,False
2016,2016Q2,1,0.7352941176470588,-81.08571428571459,0.0,0.0,False,False
2016,2016Q3,3,2.2058823529411766,69.04285714285416,1.8352920843414697,33.33333333333333,False,True
2016,2016Q4,1,0.7352941176470588,-60.64285714285752,0.0,0.0,False,False
2017,2017Q1,0,0.0,0.0,0.0,0.0,False,False
2017,2017Q2,2,1.4705882352941175,-79.77142857142908,0.0,0.0,False,False
2017,2017Q3,4,2.941176470588235,-195.24285714285753,0.0,0.0,False,False
2017,2017Q4,1,0.7352941176470588,112.18571428571686,999.0,100.0,False,True
2018,2018Q1,1,0.7352941176470588,128.3857142857135,999.0,100.0,False,True
2018,2018Q2,1,0.7352941176470588,-35.08571428571322,0.0,0.0,False,False
2018,2018Q3,3,2.2058823529411766,8.428571428571914,1.1154824818947036,33.33333333333333,False,False
2018,2018Q4,2,1.4705882352941175,125.59999999999819,5.420311714429429,50.0,False,True
2019,2019Q1,1,0.7352941176470588,-33.44285714285725,0.0,0.0,False,False
2019,2019Q2,1,0.7352941176470588,-37.50000000000064,0.0,0.0,False,False
2019,2019Q3,1,0.7352941176470588,178.01428571428397,999.0,100.0,False,True
2019,2019Q4,2,1.4705882352941175,-114.8999999999991,0.0,0.0,False,False
2020,2020Q1,0,0.0,0.0,0.0,0.0,False,False
2020,2020Q2,6,4.411764705882353,594.9285714285686,3.044026700696953,50.0,True,True
2020,2020Q3,5,3.6764705882352944,97.0999999999995,1.227278806928374,40.0,True,True
2020,2020Q4,4,2.941176470588235,319.85714285714243,2.4882020604852086,50.0,False,True
2021,2021Q1,6,4.411764705882353,190.62857142857035,1.4736786056582978,33.33333333333333,True,True
2021,2021Q2,3,2.2058823529411766,146.57142857142654,2.533861563761371,33.33333333333333,False,True
2021,2021Q3,1,0.7352941176470588,155.47142857142882,999.0,100.0,False,True
2021,2021Q4,1,0.7352941176470588,-58.557142857144484,0.0,0.0,False,False
2022,2022Q1,0,0.0,0.0,0.0,0.0,False,False
2022,2022Q2,2,1.4705882352941175,229.7857142857116,5.292767547371126,50.0,False,True
2022,2022Q3,2,1.4705882352941175,-167.95714285714112,0.0,0.0,False,False
2022,2022Q4,2,1.4705882352941175,-133.8714285714299,0.0,0.0,False,False
2023,2023Q1,3,2.2058823529411766,-278.85714285714096,0.0,0.0,False,False
2023,2023Q2,1,0.7352941176470588,163.1000000000011,999.0,100.0,False,True
2023,2023Q3,3,2.2058823529411766,-168.57142857142856,0.0,0.0,False,False
2023,2023Q4,2,1.4705882352941175,361.2571428571447,999.0,100.0,False,True
2024,2024Q1,1,0.7352941176470588,-80.08571428571322,0.0,0.0,False,False
2024,2024Q2,2,1.4705882352941175,145.04285714285618,2.5486577181207695,50.0,False,True
2024,2024Q3,2,1.4705882352941175,-145.2571428571413,0.0,0.0,False,False
2024,2024Q4,1,0.7352941176470588,-198.7428571428547,0.0,0.0,False,False
2025,2025Q1,2,1.4705882352941175,734.757142857146,999.0,100.0,False,True
2025,2025Q2,2,1.4705882352941175,-377.214285714282,0.0,0.0,False,False
2025,2025Q3,3,2.2058823529411766,172.08571428571798,1.6770839188353883,33.33333333333333,False,True
2025,2025Q4,2,1.4705882352941175,502.64285714285376,2.308041191122329,50.0,False,True
2026,2026Q1,3,2.2058823529411766,1681.842857142847,5.786120822831012,66.66666666666666,False,True
2026,2026Q2,5,3.6764705882352944,2802.828571428594,5.395904283921955,60.0,True,True
